ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00260M66JI,25,0,344518.6666666666,450,0
00261M80HZ,62,1,293809.0,269,0
00263W23XQ,58,1,521180.0,624,1
00264J96QC,29,0,193330.66666666666,274,0
00273F04YP,63,1,491967.0,370,1
00277V91XO,63,1,364455.0,319,1
00279E12YC,33,0,329426.0,224,0
00281H13IL,32,1,137376.0,262,0
00282H90KM,46,1,623584.0,348,1
00283Q67LW,33,0,440311.3333333334,286,0
00283R71ZE,44,0,327656.0,271,0
00284C65GH,30,0,286077.3333333333,358,1
00289N46JG,40,1,156705.0,145,0
00299I24KW,42,1,547376.0,722,1
00302F94QD,50,0,418992.0,37,0
00302J37VM,40,0,410178.6666666667,33,0
00309P39HF,60,1,245295.0,269,0
00310Q42MZ,33,1,130517.0,322,0
00315I46PY,62,0,502570.6666666667,253,1
00318K61KI,61,0,231938.66666666666,505,1
00319G52KN,39,0,402818.6666666667,293,0
00319W54HL,33,1,126085.0,65,1
00327I16CN,34,0,300106.6666666667,280,0
00332G98OD,52,1,548641.0,263,0
00333G45BT,55,0,452490.6666666667,414,1
00335D45ZO,38,1,250767.0,81,0
00336T66SQ,61,1,739615.0,490,1
00342X44FK,50,1,410704.0,312,0
00345D80KY,56,0,460232.0,454,1
00349F03KO,42,1,383210.0,323,0
00352T67FO,50,0,428269.3333333333,359,0
00361H11UT,26,1,201025.0,204,1
00364V23LI,50,1,703957.3333333334,224,1
00365W93ZJ,47,1,448851.0,442,0
00367J12EU,49,1,313491.0,319,0
00370E34LE,51,0,460696.0,613,1
00373G59CP,34,1,212101.0,20,0
00375D60YS,39,0,403288.0,267,1
00376J00ZZ,36,0,359117.3333333333,380,1
00379Z36SA,30,1,206429.0,265,0
00382V59DF,31,1,171595.0,462,1
00383N03UQ,39,1,158799.0,455,0
00385Q88UV,56,1,450129.0,449,1
00389G25SI,44,1,594890.6666666666,848,1
00398Y03ZM,64,1,325588.0,91,0
00401K86FK,62,0,423189.3333333333,546,1
00401O09TQ,49,0,297602.6666666667,338,0
00403U35TW,28,0,139173.33333333334,406,1
00408L45WP,61,0,369072.0,82,0
00408Y08KQ,32,1,151120.0,331,1
00410R16TC,25,0,398736.0,279,0
00417A28PT,28,1,215760.0,418,1
00419G61MI,38,0,317861.3333333333,341,0
00419O42OQ,52,1,215426.0,298,1
00419V35NQ,43,1,366221.0,431,1
00429R01AE,30,1,139415.0,249,0
00431G07OO,52,1,431286.0,399,1
00436Y85OW,49,0,750840.0,496,1
00440N64KQ,51,1,195015.0,84,0
00444U00JB,32,0,488666.6666666667,15,0
00453H15DP,33,1,267485.0,397,1
00455K70WT,41,1,420102.0,330,0
00459L34ID,54,0,530882.6666666666,302,0
00461I28ID,46,1,326522.0,361,1
00464V67EK,35,0,240805.33333333334,281,1
00473N34QJ,46,1,539405.3333333334,927,1
00475I88MC,43,1,259877.0,428,1
00493W41NP,32,0,330118.6666666666,396,1
00500S08SF,39,1,280888.0,498,1
00501G72LQ,36,0,427181.3333333333,265,0
00501L02HF,53,1,339461.0,238,1
00501T24RS,32,1,269414.0,333,0
00502D01IX,34,1,205253.0,286,0
00504A56CT,59,1,500732.0,209,0
00504T00RT,33,1,243617.0,372,1
00507E06MF,49,1,134492.0,479,0
00517Y96VA,62,0,293661.3333333333,298,0
00518J26YC,27,0,447013.3333333333,313,1
00518T21SS,63,0,181069.33333333334,463,1
00520M39VD,33,0,317437.3333333333,56,0
00520U36PQ,63,0,403709.3333333333,821,1
00522N86WP,27,1,205214.0,596,1
00525V37OB,54,0,450053.3333333333,361,1
00530T87YG,61,0,199896.0,416,1
00533R36MW,62,0,194712.0,150,0
00539H54NQ,45,1,137660.0,201,0
00542P53PF,58,0,481856.0,571,1
00543L30OC,58,1,126174.0,240,0
00546N40AX,43,0,734605.3333333334,260,0
00546X20AD,33,0,382048.3333333334,254,1
00548N04YU,59,0,203056.0,306,0
00551U40CI,52,1,465582.0,168,1
00553H11CJ,50,1,212319.0,431,0
00553J02LM,46,0,366016.0,125,0
00556C70FP,43,0,661573.3333333334,562,1
00560M12PX,63,0,411613.3333333333,686,1
00567R64FM,37,1,397731.0,213,1
00568J65SH,55,1,138584.0,975,1
00569N86LZ,28,0,177482.66666666666,332,1
00570A36UB,55,1,776224.0,518,1
00573A72IV,63,1,688604.0,483,1
00573H82YB,29,0,457411.0,286,1
00573O29KC,29,0,498557.3333333333,423,1
00581Q10GK,36,1,290958.0,275,0
00581V89BY,60,0,479149.3333333333,339,1
00586N32TT,41,1,176922.0,324,1
00586U96UR,49,1,405799.0,275,1
00588Z20CE,57,0,94773.33333333333,326,0
00591L30JZ,63,0,413181.3333333333,529,1
00596L21AG,36,0,608234.6666666666,500,0
00597M73JU,59,1,347636.0,426,1
00597U80TD,57,0,199264.0,30,1
00597Y41ON,49,0,683741.3333333334,335,0
00600R42WH,41,1,265642.0,278,0
00604N95HR,40,0,511938.6666666667,343,1
00607C34QX,28,0,434554.6666666667,301,1
00607J41MX,59,0,237954.66666666666,181,1
00614D96HJ,27,1,230490.0,348,0
00618Q42CL,35,1,150900.0,443,1
00619C80OJ,50,0,458736.0,60,0
00620C55TZ,38,1,572869.3333333334,488,1
00621B59JV,64,1,113709.0,626,0
00622Q85VX,56,0,241616.0,120,0
00627F51PE,49,1,495549.0,141,1
00632Y77VT,41,0,529834.6666666666,446,1
00633V61EC,57,1,471821.0,45,1
00636I79LV,56,1,378477.0,463,1
00638O43EA,51,0,367565.3333333333,237,0
00641G28YH,61,1,109837.0,311,1
00643U81CS,30,1,235558.0,284,0
00649W73YA,51,0,477813.3333333333,230,1
00655D11UW,31,1,112574.0,369,0
00658H28XP,35,0,151637.33333333334,315,1
00658R45HF,53,1,787609.0,802,1
00659T59XL,30,0,437994.6666666667,349,0
00666Q86JT,39,1,444372.0,337,1
00667B13SX,62,1,411862.0,422,1
00669I59LZ,33,0,368384.3333333334,349,1
00674D31IS,47,0,659317.3333333334,290,1
00674H38AW,60,0,482248.0,411,0
00677W20SF,33,0,239741.33333333334,389,0
00682D83FR,51,1,793627.0,513,1
00683H66HF,29,0,466160.0,120,1
00684U17QW,59,1,166379.0,257,0
00692P42OU,36,1,443703.0,442,0
00697M49YH,55,1,122931.0,481,0
00698O55HC,55,1,110499.0,231,0
00704C92HW,51,0,88680.0,87,0
00705G84QD,34,0,342933.3333333333,482,1
00705J21XS,30,1,257651.0,79,0
00705Q74LP,33,0,331716.6666666666,346,0
00706L25FX,62,1,137580.0,344,0
00717V64OY,48,1,385394.0,424,1
00717W67CY,64,1,779778.0,380,1
00719I75XG,47,1,170486.0,238,0
00719L34GW,48,0,347008.0,487,1
00726J74XT,48,0,483365.3333333333,325,1
00727W36KD,54,0,303965.3333333333,71,0
00730M90XX,36,1,196575.0,350,1
00733E14KR,55,0,408050.6666666667,98,0
00741J06PK,64,1,106193.0,790,0
00741O96XC,42,0,341970.6666666667,891,0
00743F31QF,34,0,401235.0,253,0
00744S19FN,59,1,308839.0,107,0
00746S00UV,65,0,166530.66666666666,15,0
00748R62RR,46,0,459746.6666666667,938,1
00750T82EG,25,0,379876.0,340,0
00751P30ZX,48,0,531717.3333333334,798,1
00752S07GF,51,0,358352.0,878,1
00753Y39FX,28,0,469074.6666666667,252,0
00754G43CV,31,0,334384.0,371,1
00755W40EI,44,1,181029.0,334,0
00757R94ZC,56,1,740746.0,140,1
00759T72LN,51,0,378904.0,405,1
00760K33VH,51,0,421677.3333333333,779,1
00763N11CY,56,0,171002.66666666666,507,0
00764I35GI,53,1,513727.0,786,1
00764Z54EI,56,0,87858.66666666667,401,0
00768Z00MB,41,1,394836.0,254,0
00768Z27FB,63,1,633688.0,255,0
00769R93WL,45,0,326554.6666666667,342,1
00772D21XX,44,1,478692.0,423,1
00774B38EU,59,0,272045.3333333333,300,1
00779J88GP,30,0,255157.33333333334,173,1
00784Q15XZ,54,1,142597.0,50,1
00788W35OF,65,0,321733.3333333333,167,1
00789T30IT,41,0,608949.3333333334,43,0
00799J78SE,33,0,445744.3333333334,324,0
00801Q34ZT,33,0,487368.0,275,0
00805J05YV,31,1,286693.0,224,0
00807X19YS,54,1,367247.0,167,1
00810O95VM,27,1,191639.0,962,1
00816A48NH,53,0,319445.3333333333,685,1
00819E21EA,33,1,194434.0,286,0
00825B43UX,62,1,391364.0,146,0
00830V58JE,41,1,592416.0,8,0
00831G80LP,47,1,293732.0,380,1
00831N50BR,47,1,146687.0,457,1
00836Z49AU,37,1,482575.0,360,1
00842A00HN,25,1,161457.0,105,1
00843D54RP,35,1,287076.0,352,0
00843M17XT,29,1,171903.0,182,0
00845Q81TK,38,1,744202.6666666666,236,1
00846L25IB,36,1,758280.0,161,1
00850H53IL,30,1,285007.0,796,1
00850P15CY,30,0,478325.3333333333,464,1
00857V22KA,37,1,434249.0,318,0
00858L44ZP,31,0,372776.0,244,0
00859U97GB,53,1,248346.0,285,0
00860W36CG,39,1,387742.0,209,1
00863P24UX,43,1,252653.0,389,1
00865M93YQ,40,1,304007.0,226,0
00867G02AW,63,0,488994.6666666667,648,0
00873Y86OK,61,0,129037.33333333333,418,0
00875I88FU,51,0,119389.33333333333,327,0
00877B53FP,64,1,297888.0,41,0
00881N43MB,46,1,488740.0,388,1
00883P48KD,52,0,372018.6666666667,464,1
00884B00YM,65,0,407682.6666666667,398,0
00884O08HH,54,0,199381.33333333334,268,0
00886G69MO,62,1,432126.0,148,0
00886M72WM,35,0,453600.0,300,0
00889K93BP,63,0,281781.3333333333,783,1
00891G22PA,59,0,520701.3333333333,323,1
00894L73AU,26,1,169736.0,279,0
00898C15VM,64,0,282090.6666666667,500,1
00901N73RR,39,1,398483.0,470,1
00901R07PT,51,0,516285.3333333333,485,1
00903H73ZK,46,1,164721.0,473,1
00904F99MB,49,1,548824.0,146,1
00904I84IS,49,1,291493.0,460,1
00904P31DT,37,0,665368.0,295,1
00905S42UB,51,0,446626.6666666667,490,1
00906I17QD,65,1,391174.0,326,0
00907E28ZU,59,0,136861.33333333334,244,0
00908X63WZ,35,1,100259.0,480,1
00912D28FF,64,0,426720.0,227,1
00913B67KG,38,1,330965.0,364,1
00913R99BU,57,1,781754.0,181,1
00913V31TE,40,1,212213.0,284,1
00915M41NY,51,1,485904.0,850,1
00919E90FE,61,0,171549.33333333334,254,0
00922G84AU,37,1,264193.0,268,0
00922L29OE,28,0,196229.33333333334,257,0
00924F05LC,59,0,457080.0,348,0
00925V03AX,58,1,635837.0,360,1
00930E10QS,35,1,298021.0,488,1
00931S31VF,42,0,630717.3333333334,217,1
00934C21WS,48,1,290833.0,207,0
00934D48UJ,36,1,374075.0,396,1
00939Z87HR,39,1,125176.0,255,0
00940B89BJ,60,0,127029.33333333333,969,1
00943D49FD,59,0,316666.6666666667,603,0
00943K45TT,36,0,274872.0,810,1
00947C06UC,30,1,178731.0,259,1
00947N26ZQ,60,0,132224.0,163,0
00948K59ZW,53,0,513061.3333333333,995,1
00948M19XF,47,0,344040.0,958,1
00955D34KU,50,0,279882.6666666667,993,0
00955L04CY,45,1,331459.0,357,1
00955S92OW,43,1,582914.6666666666,132,1
00956F58IS,48,1,347048.0,298,0
00957D43YN,30,1,110721.0,373,1
00960O30FX,56,0,200357.33333333334,84,0
00960S45IJ,35,1,170833.0,212,1
00964H06PP,52,0,345690.6666666667,288,1
00966F87IK,27,0,267669.3333333333,233,1
00967L28RH,56,1,589550.0,365,1
00973W52MM,34,0,144389.33333333334,457,0
00978Y74ZX,45,0,318032.0,205,1
00983W88PB,39,1,241906.0,410,1
00986K76BF,34,1,195720.0,44,0
00988D64KD,38,1,436892.0,307,0
00989J36PB,40,1,328892.0,457,0
00989P99TT,31,1,287206.0,865,1
00991S22SR,52,1,594865.0,142,1
00992F39EM,61,0,243053.33333333334,144,0
00993V00RU,59,1,335735.0,696,1
00994U87KV,31,0,365857.6666666666,223,1
00995P51TZ,53,1,351715.0,386,1
00996M74JK,26,0,368552.0,373,0
01000F22UP,46,1,120648.0,144,0
01001K33KH,39,0,406216.0,324,0
01008F40OS,39,0,723461.3333333334,172,0
01008Q99DM,26,0,350271.3333333334,205,1
01009Q00IV,62,1,112922.0,209,0
01015G52MH,40,0,339328.0,489,1
01016U44AD,65,0,236016.0,769,1
01021O87OI,32,1,177884.0,307,1
01024G80SN,64,1,301744.0,525,1
01024T77TL,64,1,72138.0,84,0
01025V55XI,36,0,287733.3333333333,464,1
01026K03TS,30,0,337248.0,265,0
01026W37VZ,37,1,521922.6666666667,184,1
01029J74EU,62,1,725155.0,427,1
01030K68WE,63,1,154494.0,426,1
01031I91IC,26,1,114319.0,287,0
01036B63OU,47,0,454234.6666666667,282,1
01037M22VF,63,1,535350.0,219,1
01037X90QY,55,0,374984.0,352,1
01039S40NE,44,1,226511.0,485,0
01040P22BU,61,1,570420.0,337,1
01041H87VD,36,1,667101.3333333334,169,1
01058C29CA,44,1,379859.0,354,0
01059W32LZ,25,0,218589.33333333334,52,0
01062D39OT,38,1,451147.0,320,1
01067H72OL,27,0,440148.6666666666,219,1
01069V95BZ,34,1,248961.0,398,1
01071U56OU,65,1,451333.0,362,0
01072B91IF,60,0,479821.3333333333,481,1
01074R68ZA,34,1,209863.0,284,1
01077C41QN,61,1,489814.0,870,0
01084S44QF,40,0,701277.3333333334,456,1
01088S10VR,44,1,375053.0,214,1
01089Z30MG,35,1,215735.0,832,1
01090Q97CU,38,1,444794.0,338,0
01093I81KX,54,0,463250.6666666667,820,1
01111S41MP,60,1,726145.0,301,1
01115B12VM,43,1,382163.0,415,0
01115E84NE,26,1,156735.0,862,1
01115L00ID,37,0,587728.0,321,1
01116E98YG,64,1,356890.0,180,0
01117C91ZQ,51,1,367024.0,388,1
01119R35PW,27,1,293422.0,273,1
01119V81EZ,52,0,495042.6666666667,286,1
01121M25DE,37,1,311387.0,262,1
01122K24CQ,33,0,403633.3333333334,259,1
01122U04YX,42,1,432658.0,275,1
01123T67XK,33,1,192157.0,7,1
01124S12FS,53,1,74438.0,198,0
01127D22EI,53,1,766460.0,330,1
01129I96LR,51,0,251026.66666666666,181,0
01129P63AG,47,0,373136.0,947,1
01133L81RM,36,1,544405.3333333334,488,1
01136Y83CP,62,1,312569.0,437,1
01137U37JQ,38,1,442213.0,429,1
01142O70VF,60,0,278773.3333333333,260,0
01142Y75AB,60,0,321181.3333333333,1016,1
01147F40TX,48,1,375688.0,218,1
01147I00YN,40,0,521824.0,585,1
01149Y43AP,37,0,328237.3333333333,55,0
01150J25WQ,30,1,258885.0,405,0
01150O25WT,34,0,466138.6666666667,304,1
01151O52VB,48,1,360592.0,327,0
01151P20QC,43,1,126507.0,400,1
01151S65CN,60,0,91605.33333333333,55,0
01151U07NQ,57,0,467714.6666666667,344,0
01153G04UQ,55,1,194008.0,105,1
01162I66HE,56,0,418717.3333333333,72,0
01163O49BB,43,1,362258.0,326,0
01168U92UH,59,0,358632.0,486,1
01170E37DL,25,1,210229.0,434,1
01177D02SI,65,0,500301.3333333333,838,1
01178S34US,33,0,244272.0,299,0
01181X33GY,44,0,367720.0,43,0
01185T25PE,63,1,391285.0,276,1
01185X55LI,26,0,250256.0,262,0
01187X32PV,56,0,154482.66666666666,435,1
01191Z12SW,48,1,390169.0,338,1
01201C34CR,27,1,190820.0,342,1
01202B27LS,25,1,223470.0,496,1
01202D16CI,43,1,616413.3333333334,488,1
01207M12BE,30,0,421264.0,440,1
01211Z26TM,55,1,744584.0,341,0
01217O13GL,40,1,261481.0,330,0
01218M24CA,33,0,193461.33333333334,337,0
01219F31JE,38,1,629440.0,427,1
01222W90CM,55,1,209813.0,286,0
01229G22XZ,55,0,187621.33333333334,269,0
01230B25YI,55,1,626450.0,355,0
01230Q41MR,30,0,457941.3333333333,451,1
01235Q72WC,26,1,204953.0,454,0
01239I93SO,56,1,349492.0,358,1
01242T24SV,49,0,462114.6666666667,435,1
01248F66UL,56,0,213021.33333333334,978,1
01248J78OL,36,1,144461.0,384,1
01248W16MI,32,1,182430.0,458,1
01249M61OV,56,0,395056.0,451,1
01256I00DB,42,0,424968.0,800,1
01260Z65MJ,38,0,369701.3333333333,691,1
01261N00UV,60,0,336362.6666666667,429,1
01262A70MN,56,0,170069.33333333334,129,0
01264K53ZA,30,0,362253.3333333333,180,1
01264V06YQ,60,0,184869.33333333334,238,0
01266B11JM,55,1,220360.0,883,1
01267J14BB,52,0,406370.6666666667,500,1
01269X42KK,48,0,387002.6666666667,206,1
01272A34ZJ,41,0,335448.0,204,0
01272L91DZ,39,1,423928.0,380,0
01281R96GU,63,0,503021.3333333333,699,0
01282J12RZ,27,1,284696.0,397,1
01283P16QE,40,1,409777.0,340,1
01285R23JP,45,1,379523.0,476,1
01287Y56WB,26,1,111299.0,329,0
01289Q32ZT,35,1,165875.0,189,0
01301S73UW,47,1,351466.0,336,0
01306A61HR,61,0,439906.6666666667,115,0
01307Y56MZ,39,1,414981.0,236,1
01309P43PO,25,0,421602.6666666667,446,1
01313I14RI,40,1,799874.6666666666,423,1
01315M01JZ,40,1,275369.0,388,1
01315V78UP,47,1,320075.0,221,0
01316H43SG,29,0,164517.33333333334,325,0
01326C26MX,41,0,532800.0,351,1
01327S33IW,62,1,200148.0,565,1
01333F92VU,43,1,248003.0,478,1
01333I37CN,26,0,482744.0,392,1
01333U14NG,27,0,355050.0,458,0
01336T52XP,35,1,102165.0,422,1
01337Z14BA,48,0,469770.6666666667,464,1
01338T72OP,45,1,196040.0,436,1
01342I16ML,35,1,144078.0,82,0
01345N44CG,31,0,304512.0,422,1
01346C84YK,31,0,156101.33333333334,129,0
01351A55CA,34,1,142028.0,508,1
01351P26AS,46,1,397192.0,445,1
01353U16FZ,28,0,269272.0,487,1
01354R98LA,59,0,191136.0,577,1
01354T67WW,53,0,88621.33333333333,215,0
01355Q80VJ,34,0,334658.6666666667,436,1
01356F57TA,39,0,574168.0,484,0
01356M83WX,34,0,336480.0,218,1
01357N30JU,54,1,535432.0,434,1
01358N59YL,55,0,209858.66666666666,301,0
01364G45TM,44,0,330200.0,252,0
01369W49CR,47,0,471397.3333333333,306,1
01369W98MB,56,0,379280.0,602,1
01372W11BU,51,0,152221.33333333334,447,1
01376K94JZ,62,0,493149.3333333333,214,1
01380W63OL,55,0,187149.33333333334,429,1
01380X67FY,49,1,197610.0,388,1
01381B03VW,52,0,292589.3333333333,767,1
01382D56FL,41,0,423469.3333333333,521,1
01383M58FX,34,1,222326.0,404,1
01383Q36KW,64,1,415455.0,414,1
01383W35PB,62,1,708848.0,688,1
01384I98ZU,28,1,105102.0,480,0
01388S72KJ,26,1,108929.0,121,0
01393Q21RX,39,1,331557.0,207,1
01398A01WH,47,0,452765.3333333333,226,1
01400H04QG,33,0,459330.6666666667,243,0
01403G09VB,50,1,321521.0,273,1
01404G08EW,40,1,780866.6666666666,51,1
01406B88CG,44,1,422416.0,340,0
01406X95UL,25,1,211326.0,798,0
01408H75PW,59,0,213752.0,803,1
01409K36EC,47,1,662544.0,384,1
01409T59KW,57,0,167648.0,315,1
01415Q91JU,60,1,762628.0,135,0
01417X45HM,54,0,392698.6666666667,334,0
01419G54GG,26,0,426376.3333333334,363,1
01419I84RQ,48,1,324878.0,352,1
01421N84MH,61,0,187114.66666666666,93,1
01421S26YP,54,0,480952.0,975,1
01425M18OD,57,0,216426.66666666666,113,0
01425Y96JL,59,0,177618.66666666666,597,1
01426B52BU,43,1,386394.0,343,0
01426W66OY,26,1,143183.0,70,0
01430O58LI,30,0,368253.3333333333,280,1
01432W09BC,35,1,153108.0,465,1
01436V30AV,55,0,330762.6666666667,348,1
01437C95KI,36,1,406444.0,446,1
01442O52DM,32,0,214557.33333333334,308,0
01442R87BN,30,0,258306.66666666666,344,0
01444X76TY,48,1,185427.0,191,0
01445K60PV,33,0,344929.0,448,1
01447S13RT,44,1,235917.0,402,1
01448C36FL,50,1,203749.0,26,0
01451X67BM,58,1,538155.0,421,1
01456R92SA,40,1,437619.0,324,1
01457G16YL,36,1,520576.0,375,1
01460A27QG,47,0,682890.6666666666,254,1
01464W35DF,36,1,549808.0,250,1
01465B88NC,55,0,329208.0,291,1
01465M23NM,55,0,203776.0,297,0
01469O84GB,27,1,134829.0,326,0
01471R97MB,57,0,276072.0,206,0
01477M84RH,64,1,548840.0,89,0
01478O25DF,64,1,483559.0,198,1
01481R52IF,52,1,132704.0,608,0
01483H74HS,47,0,771717.3333333334,427,1
01483O59HL,53,1,798844.0,372,1
01484J05OQ,27,1,264652.0,217,1
01485W03JJ,50,1,667221.3333333334,8,1
01490I51EZ,48,0,634786.6666666666,359,0
01491N47QL,52,0,319269.3333333333,248,1
01493A83ZJ,25,1,174444.0,88,1
01496T09SX,36,1,665789.3333333334,845,1
01504Y79UO,35,1,244566.0,67,0
01505B94VS,37,1,366798.0,258,0
01506I12AU,43,0,785157.3333333334,390,1
01508E27QQ,25,1,139166.0,1007,0
01510A15KE,65,1,175614.0,144,0
01511H32AX,37,1,389044.0,358,0
01512O88BV,34,0,316808.0,398,1
01513D21JV,26,0,260384.0,227,1
01513V60OL,58,1,570833.0,313,0
01518N47SC,43,0,732154.6666666666,395,1
01521R29DH,34,0,232042.66666666666,423,0
01522T08XX,54,0,210957.33333333334,211,0
01525R30QC,60,0,468312.0,321,1
01529K55DA,62,0,136354.66666666666,622,0
01533X59PC,37,1,250115.0,455,1
01538E02HP,27,1,259327.0,356,1
01541F43OG,36,1,780365.3333333334,370,0
01544I50GY,37,0,626282.6666666666,228,0
01546W12CJ,25,0,145586.66666666666,216,1
01548B49ZM,49,1,295069.0,316,1
01551V94SD,34,1,159494.0,313,0
01553B70KM,55,1,254337.0,434,0
01555A41KX,44,1,301631.0,438,1
01560H49HU,65,0,457253.3333333333,223,0
01562F67QV,47,1,446597.0,402,0
01563A98MO,27,1,224144.0,152,0
01568Z24BR,55,1,784432.0,368,1
01571H79ML,26,0,465928.0,306,0
01571R86PM,35,0,353011.0,365,0
01571V54WL,48,0,407728.0,13,0
01572S74OC,27,0,310973.3333333333,434,0
01579I48BG,27,1,202174.0,62,1
01581A11IP,42,0,532925.3333333334,36,1
01583Q01DX,50,1,633069.3333333334,400,1
01583X31HM,55,1,422858.0,343,1
01586H95YF,65,0,429688.0,464,1
01586P10FW,53,1,184484.0,24,0
01603M69XO,30,0,376951.0,201,0
01604S01EH,46,1,248878.0,120,0
01607Q95MN,44,1,668141.3333333334,246,1
01615X60NX,51,1,381384.0,380,0
01616R83CF,43,1,445246.0,436,1
01620V81EZ,38,0,321482.6666666667,186,0
01621P02NT,65,1,488394.0,42,1
01623P16AH,36,1,264908.0,285,1
01623Y64PC,52,0,111512.0,582,1
01624B54BM,62,1,202400.0,360,0
01630S00GL,30,0,155818.66666666666,438,1
01631X51XI,64,1,489525.0,843,1
01632P00GQ,55,1,177193.0,737,1
01634Z98FG,53,0,446400.0,263,1
01635T18WI,58,0,418002.6666666667,363,1
01636N18FK,54,0,227845.33333333334,363,1
01636R30JC,48,0,671565.3333333334,1017,1
01637A53AR,50,1,379562.0,256,1
